"","items","center","scale"
"1","AGIL2AgilMeth",2.021176471,1.327155964
"2","AGIL1Pro2",3.287058824,1.069494264
"3","Digi3IKTAutomation2",1.383529412,0.944802947
"4","Flex2oe1a",2.950588235,1.649730076
"5","Flex1ze1",3.343529412,1.271832642
"6","Demo1OrgStr4",5.887058824,2.558088736
"7","Demo4Auto6",3.550588235,1.106543949
"8","Digi3IKTAutomation3",1.36,0.905851002
"9","Flex1ze2",3.282352941,1.532753755
"10","Flex2oe1b",2.595294118,1.555870341
"11","Demo3Parti3",3.254117647,1.075625415
"12","Flex2oe1c",2.738823529,1.558610753
"13","Demo1OrgStr3",4.795294118,2.640035819
"14","Demo1OrgStr2",4.531764706,2.518713535
"15","Demo4Auto4",3.738823529,0.978554734
"16","Demo3Parti2",3.607058824,1.017973875
"17","AGIL1Pro1",3.037647059,1.115285782
"18","Digi3IKTAutomation1",1.663529412,1.162386844
"19","AGIL1Re",3.268235294,1.132101461
"20","Demo4Auto5",3.757647059,1.037092324
